feature_name,organism,gene_symbol,is_current
Q5JTC6,homo sapiens,AMER1,1
Q8N7J2,homo sapiens,AMER2,1
Q8N944,homo sapiens,AMER3,1
Q6DCA0,homo sapiens,AMERL,1
Q9UKV5,homo sapiens,AMFR,1
Q86WK6,homo sapiens,AMGO1,1
Q86SJ2,homo sapiens,AMGO2,1
Q86WK7,homo sapiens,AMGO3,1
Q16671,homo sapiens,AMHR2,1
Q9Y4X0,homo sapiens,AMMR1,1
Q8IY45,homo sapiens,AMN1,1
Q9BXJ7,homo sapiens,AMNLS,1
Q8IY63,homo sapiens,AMOL1,1
Q9Y2J4,homo sapiens,AMOL2,1
Q4VCS5,homo sapiens,AMOT,1
Q9H4A4,homo sapiens,AMPB,1
P23109,homo sapiens,AMPD1,1
Q01433,homo sapiens,AMPD2,1
Q01432,homo sapiens,AMPD3,1
Q07075,homo sapiens,AMPE,1
P49418,homo sapiens,AMPH,1
P28838,homo sapiens,AMPL,1
P15144,homo sapiens,AMPN,1
